moviename,charactername,time
Iron Man,Obadiah Stane,22
Captain America: The First Avenger,Peggy Carter,17.25
Captain America: The Winter Soldier,Peggy Carter,2.25
Avengers: Age Of Ultron,Peggy Carter,0.25
Ant-Man,Peggy Carter,0.75
Iron Man,Agent Phil Coulson,3.75
Iron Man 2,Agent Phil Coulson,2
Thor,Agent Phil Coulson,4
The Avengers,Agent Phil Coulson,9
Iron Man,Happy Hogan,1.25
Iron Man 2,Happy Hogan,4.25
Iron Man 3,Happy Hogan,6.25
Spider-Man: Homecoming,Happy Hogan,6
The Incredible Hulk,Gen. Thaddeus Ross,15
Captain America: Civil War,Gen. Thaddeus Ross,2.75
Doctor Strange,Ancient One,17.25
Avengers: Age Of Ultron,Ultron,16.75
Ant-Man,Hope van Dyne,15.75
Captain America: The First Avenger,Johann Schmidt,15.5
Ant-Man,Darren Cross,14.5
Avengers: Age Of Ultron,Vision,6.25
Captain America: Civil War,Vision,7.25
Doctor Strange,Christine Palmer,12.75
Captain America: The Winter Soldier,Alexander Pierce,12.75
Iron Man 3,Aldrich Killian,12
Captain America: Civil War,T'Challa,11.5
Iron Man,Ho Yinsen,10.75
Iron Man 3,Ho Yinsen,0.25
Captain America: The First Avenger,Arnim Zola,8.25
Captain America: The Winter Soldier,Arnim Zola,2.25
Captain America: The Winter Soldier,Pietro Maximoff,0.25
Avengers: Age Of Ultron,Pietro Maximoff,10
Spider-Man: Homecoming,Liz Allan,9.75
Captain America: The First Avenger,Chester Phillips,9.25
Iron Man 3,Maya Hansen,8.75
Captain America: The Winter Soldier,Crossbones,6.25
Captain America: Civil War,Crossbones,2.25
Thor,Hogun,6.5
Thor: The Dark World,Hogun,1
Thor: Ragnarok,Hogun,0.75
Captain America: The Winter Soldier,Sharon Carter,2.5
Captain America: Civil War,Sharon Carter,5
The Incredible Hulk,Samuel Sterns,7.5
Ant-Man,Luis,7
Guardians Of The Galaxy,Kraglin,1.75
Guardians Of The Galaxy Vol. 2,Kraglin,4.75
Thor: The Dark World,Algrim,6.25
Thor: Ragnarok,Grandmaster,6
Iron Man 3,Savin,6
Iron Man,Christine Everhart,3.75
Iron Man 2,Christine Everhart,1.5
Ant-Man,Cassandra Lang,4.5
Thor: The Dark World,The Collector,1.25
Guardians Of The Galaxy,The Collector,2.5
Thor: Ragnarok,Korg,3.75
Thor,King Laufey,3.5
Avengers: Age Of Ultron,Dr. Helen Cho,3.25
