moviename,charactername,time,totaltime,release,chrono
Avengers: Age Of Ultron,Cassandra Lang,0,4.5,11,12
Avengers: Age Of Ultron,Chester Phillips,0,9.25,11,12
Avengers: Age Of Ultron,Christine Everhart,0,5.25,11,12
Avengers: Age Of Ultron,Christine Palmer,0,12.75,11,12
Avengers: Age Of Ultron,Clint Barton,15,32.5,11,12
Avengers: Age Of Ultron,Col. James Rhodes,2.5,46.5,11,12
Avengers: Age Of Ultron,Crossbones,0,8.5,11,12
Avengers: Age Of Ultron,Darcy Lewis,0,17.25,11,12
Avengers: Age Of Ultron,Darren Cross,0,14.5,11,12
Avengers: Age Of Ultron,Dr. Abraham Erskine,0,8.5,11,12
Avengers: Age Of Ultron,Dr. Helen Cho,3.25,3.25,11,12
Avengers: Age Of Ultron,Dr. Stephen Strange,0,76.25,11,12
Avengers: Age Of Ultron,Drax the Destroyer,0,34.5,11,12
Avengers: Age Of Ultron,Ego the Living Planet,0,17.5,11,12
Avengers: Age Of Ultron,Emil Blonsky,0,18.5,11,12
Avengers: Age Of Ultron,Erik Selvig,0.75,24,11,12
Avengers: Age Of Ultron,Fandral,0,9.5,11,12
Avengers: Age Of Ultron,Frigga,0,6,11,12
Avengers: Age Of Ultron,Gamora,0,55,11,12
Avengers: Age Of Ultron,Gen. Thaddeus Ross,0,17.75,11,12
Avengers: Age Of Ultron,Grandmaster,0,6,11,12
Avengers: Age Of Ultron,Groot,0,29.5,11,12
Avengers: Age Of Ultron,Hank Pym,0,24.75,11,12
Avengers: Age Of Ultron,Happy Hogan,0,17.75,11,12
Avengers: Age Of Ultron,Harley Keener,0,6.25,11,12
Avengers: Age Of Ultron,Heimdall,0.5,13.5,11,12
Avengers: Age Of Ultron,Hela,0,12.25,11,12
Avengers: Age Of Ultron,Ho Yinsen,0,11,11,12
Avengers: Age Of Ultron,Hogun,0,8.25,11,12
Avengers: Age Of Ultron,Hope van Dyne,0,15.75,11,12
Avengers: Age Of Ultron,Howard Stark,0,8.75,11,12
Avengers: Age Of Ultron,Ivan Vanko,0,20.75,11,12
Avengers: Age Of Ultron,Jane Foster,0,46,11,12
Avengers: Age Of Ultron,Jasper Sitwell,0,5.5,11,12
Avengers: Age Of Ultron,Johann Schmidt,0,15.5,11,12
Avengers: Age Of Ultron,Justin Hammer,0,16.5,11,12
Avengers: Age Of Ultron,Kaecilius,0,12.75,11,12
Avengers: Age Of Ultron,King Laufey,0,3.5,11,12
Avengers: Age Of Ultron,Korg,0,3.75,11,12
Avengers: Age Of Ultron,Kraglin,0,6.5,11,12
Avengers: Age Of Ultron,Laura Barton,3.75,3.75,11,12
Avengers: Age Of Ultron,Liz Allan,0,9.75,11,12
Avengers: Age Of Ultron,Loki,0,75.25,11,12
Avengers: Age Of Ultron,Luis,0,7,11,12
Avengers: Age Of Ultron,Malekith the Accursed,0,8.75,11,12
Avengers: Age Of Ultron,Mantis,0,11,11,12
Avengers: Age Of Ultron,Maria Hill,3,11.75,11,12
Avengers: Age Of Ultron,May Parker,0,5,11,12
Avengers: Age Of Ultron,Maya Hansen,0,8.75,11,12
Avengers: Age Of Ultron,Natasha Romanoff,18,89,11,12
Avengers: Age Of Ultron,Nebula,0,15,11,12
Avengers: Age Of Ultron,Ned Leeds,0,13.75,11,12
Avengers: Age Of Ultron,Nick Fury,3,43.75,11,12
Avengers: Age Of Ultron,Obadiah Stane,0,22,11,12
Avengers: Age Of Ultron,Odin,0,23.75,11,12
Avengers: Age Of Ultron,Paxton,0,4.5,11,12
Avengers: Age Of Ultron,Peggy Carter,0.25,20.5,11,12
Avengers: Age Of Ultron,Pepper Potts,0,64,11,12
Avengers: Age Of Ultron,Peter Parker,0,84.75,11,12
Avengers: Age Of Ultron,Peter Quill,0,82.5,11,12
Avengers: Age Of Ultron,Pietro Maximoff,10,10.25,11,12
Avengers: Age Of Ultron,Raza,0,6,11,12
Avengers: Age Of Ultron,Rocket Raccoon,0,39.25,11,12
Avengers: Age Of Ultron,Ronan the Accuser,0,7.75,11,12
Avengers: Age Of Ultron,Sam Wilson,0.75,28,11,12
Avengers: Age Of Ultron,Samuel Sterns,0,7.5,11,12
Avengers: Age Of Ultron,Savin,0,6,11,12
Avengers: Age Of Ultron,Scott Lang,0,56,11,12
Avengers: Age Of Ultron,Sharon Carter,0,7.5,11,12
Avengers: Age Of Ultron,Sif,0,11.5,11,12
Avengers: Age Of Ultron,Skurge,0,6.75,11,12
Avengers: Age Of Ultron,Steve Rogers,21.75,205.25,11,12
Avengers: Age Of Ultron,T'Challa,0,11.5,11,12
Avengers: Age Of Ultron,Taserface,0,4.25,11,12
Avengers: Age Of Ultron,The Collector,0,3.75,11,12
Avengers: Age Of Ultron,Thor,13.25,167.25,11,12
Avengers: Age Of Ultron,Tinkerer,0,3.75,11,12
Avengers: Age Of Ultron,Tony Stark,27.25,306,11,12
Avengers: Age Of Ultron,Trevor Slattery,0,7.5,11,12
Avengers: Age Of Ultron,Ultron,16.75,16.75,11,12
Avengers: Age Of Ultron,Valkyrie,0,15.5,11,12
Avengers: Age Of Ultron,Vision,6.25,13.5,11,12
Avengers: Age Of Ultron,Volstagg,0,10.25,11,12
Avengers: Age Of Ultron,Wanda Maximoff,12,23,11,12
Avengers: Age Of Ultron,Wong,0,7,11,12
Avengers: Age Of Ultron,Yondu Udonta,0,22.25,11,12
Avengers: Age Of Ultron,Zemo,0,10.5,11,12
Captain America: Civil War,Adrian Toomes,0,19,13,15
Captain America: Civil War,Agent Phil Coulson,0,18.75,13,15
Captain America: Civil War,Aldrich Killian,0,12,13,15
Captain America: Civil War,Alexander Pierce,0,12.75,13,15
Captain America: Civil War,Algrim,0,6.25,13,15
Captain America: Civil War,Ancient One,0,17.25,13,15
Captain America: Civil War,Arnim Zola,0,10.5,13,15
Captain America: Civil War,Ayesha,0,3.5,13,15
Captain America: Civil War,Baron Mordo,0,17.75,13,15
Captain America: Civil War,Betty Ross,0,27,13,15
Captain America: Civil War,Bruce Banner,0,112.75,13,15
Captain America: Civil War,Bucky Barnes,22,43.5,13,15
Captain America: Civil War,Cassandra Lang,0,4.5,13,15
Captain America: Civil War,Chester Phillips,0,9.25,13,15
Captain America: Civil War,Christine Everhart,0,5.25,13,15
Captain America: Civil War,Christine Palmer,0,12.75,13,15
Captain America: Civil War,Clint Barton,4.25,32.5,13,15
Captain America: Civil War,Col. James Rhodes,7.25,46.5,13,15
Captain America: Civil War,Crossbones,2.25,8.5,13,15
Captain America: Civil War,Darcy Lewis,0,17.25,13,15
Captain America: Civil War,Darren Cross,0,14.5,13,15
Captain America: Civil War,Dr. Abraham Erskine,0,8.5,13,15
